,col,,
1613,2,,
1614,13.5,,
1615,541,,
1616,1288.5,,
1617,2325,,
1618,3150,,
1619,3095,,
1620,2765,,
1621,2304.5,,
1622,1400,,
1623,777,,
1624,323,,
1625,39.5,,
1626,3,,
1627,0.5,,
1628,0,,
1629,0,,
1630,0,,
1631,0,,
1632,0,,
1633,0,,
1634,0,,
1635,0,,
1636,0,,
1637,0,,
1638,3.5,,
1639,213,,
1640,570.5,,
1641,1029,,
1642,1540,,
1643,1730,,
1644,1890,,
1645,2036,,
1646,1760,,
1647,1500,,
1648,969,,
1649,251,,
1650,1,,
1651,0,,
1652,3,,
1653,0,,
1654,0,,
1655,0,,
1656,0,,
1657,0,,
1658,0,,
1659,0,,
1660,0,,
1661,0,,
1662,4.5,,
1663,277.5,,
1664,1099,,
1665,2060,,
1666,3050,,
1667,3290,,
1668,2855,,
1669,2551.5,,
1670,1865,,
1671,1300,,
1672,638,,
1673,105,,
1674,5.5,,
1675,0.5,,
1676,0,,
1677,0,,
1678,0,,
1679,0,,
1680,0,,
1681,0,,
1682,0,,
1683,0,,
1684,0,,
1685,3,,
1686,5,,
1687,135,,
1688,553,,
1689,927,,
1690,1310,,
1691,1570,,
1692,1525,,
1693,1269,,
1694,1155,,
1695,699,,
1696,372.5,,
1697,88,,
1698,6.5,,
1699,2.5,,
1700,0,,
1701,0,,
1702,0,,
1703,0,,
1704,0,,
1705,0,,
1706,0,,
1707,0,,
1708,0,,
1709,0,,
1710,15,,
1711,425,,
1712,1570,,
1713,2740,,
1714,3825,,
1715,4125,,
1716,4205,,
1717,4336.5,,
1718,3930,,
1719,3185,,
1720,1875,,
1721,406.5,,
1722,9,,
1723,6,,
1724,1,,
1725,0.5,,
1726,0.5,,
1727,0,,
1728,0,,
1729,0,,
1730,0,,
1731,0,,
1732,0,,
1733,0,,
1734,120,,
1735,536.5,,
1736,1689.5,,
1737,2761,,
1738,3917,,
1739,4669.5,,
1740,1865,,
1741,3826,,
1742,2330,,
1743,1640,,
1744,731,,
1745,121.5,,
1746,1,,
1747,1,,
1748,0.5,,
1749,0,,
1750,0,,
1751,0,,
1752,0,,
1753,0,,
1754,0,,
1755,0,,
1756,0,,
1757,1.5,,
1758,5.5,,
1759,189,,
1760,661,,
1761,1435,,
1762,2220,,
1763,2905,,
1764,2935,,
1765,2793.5,,
1766,2665,,
1767,1980,,
1768,948.5,,
1769,216,,
1770,11,,
1771,0.5,,
1772,0,,
1773,0,,
1774,0,,
1775,0,,
1776,0,,
1777,0,,
1778,0,,
1779,0,,
1780,0,,
1781,0,,
1782,41,,
1783,507.5,,
1784,1750,,
1785,2805,,
1786,3750,,
1787,4175,,
1788,4180,,
1789,4202,,
1790,3730,,
1791,2865,,
1792,1570,,
1793,368,,
1794,7,,
1795,3,,
1796,0,,
1797,0,,
1798,0,,
1799,0,,
1800,0,,
1801,0,,
1802,0,,
1803,0,,
1804,0,,
1805,2,,
1806,3,,
1807,427.5,,
1808,575,,
1809,1148.5,,
1810,1890,,
1811,2305,,
1812,2485,,
1813,2550,,
1814,2170,,
1815,1505,,
1816,849,,
1817,199,,
1818,3,,
1819,1,,
1820,0,,
1821,0,,
1822,0,,
1823,0,,
1824,0,,
1825,0,,
1826,0,,
1827,0,,
1828,0,,
1829,0,,
1830,6.5,,
1831,173.5,,
1832,449,,
1833,805,,
1834,1195,,
1835,1270,,
1836,1285,,
1837,2042.5,,
1838,929.5,,
1839,679.5,,
1840,413,,
1841,99.5,,
1842,0.5,,
1843,3,,
1844,0,,
1845,0,,
1846,0,,
1847,0,,
1848,0,,
1849,0,,
1850,0,,
1851,0,,
1852,0,,
1853,0,,
1854,51.5,,
1855,538.5,,
1856,1450,,
1857,2934,,
1858,4340,,
1859,5875,,
1860,6579.5,,
1861,6665.5,,
1862,5579,,
1863,4495.5,,
1864,3198.5,,
1865,1500,,
1866,333,,
1867,19.5,,
1868,0,,
1869,0,,
1870,0,,
1871,0,,
1872,0,,
1873,0,,
1874,0,,
1875,0,,
1876,0,,
1877,0,,
1878,83,,
1879,742,,
1880,2195,,
1881,3545,,
1882,4210,,
1883,4705,,
1884,4835,,
1885,5058,,
1886,3955,,
1887,2985,,
1888,1840,,
1889,513,,
1890,16,,
1891,2.5,,
1892,0.5,,
1893,0,,
1894,0,,
1895,0,,
1896,0,,
1897,0,,
1898,0,,
1899,0,,
1900,0.5,,
1901,2,,
1902,239.5,,
1903,1298.5,,
1904,3450,,
1905,5190,,
1906,6195,,
1907,6250,,
1908,6100,,
1909,6083.5,,
1910,4710,,
1911,3200,,
1912,1650,,
1913,445,,
1914,11.5,,
1915,4.5,,
1916,0.5,,
1917,1,,
1918,0.5,,
1919,0,,
1920,0,,
1921,0,,
1922,0,,
1923,0,,
1924,1,,
1925,2.5,,
1926,97,,
1927,744,,
1928,1930,,
1929,2955,,
1930,3445,,
1931,3270,,
1932,2975,,
1933,4137,,
1934,2615,,
1935,1765,,
1936,829,,
1937,184,,
1938,7,,
1939,0.5,,
1940,0.5,,
1941,0,,
1942,0,,
1943,0,,
1944,0,,
1945,0,,
1946,0,,
1947,0,,
1948,0,,
1949,2.5,,
1950,116,,
1951,762,,
1952,1805,,
1953,2810,,
1954,3630,,
1955,4005,,
1956,4430,,
1957,4193.5,,
1958,3345,,
1959,2285,,
1960,1144.5,,
1961,303.5,,
1962,11.5,,
1963,2.5,,
1964,1,,
