,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear
255,Blatchworthy Farm,Solar,7,1605,1,1.5,1500,2013,2038
256,Parsonage Barn (extension),Solar,7,1606,1,7.6,7600,2013,2038
257,BIOSSENCE SOLAR PARK,Solar,7,1607,1,4.5,4500,2011,2036
258,HENDRA HOLIDAY PARK SOLAR FARM,Solar,7,1609,1,1.2,1200,2011,2036
259,EASTACOMBE SOLAR FARM,Solar,7,1610,1,3.6,3600,2012,2037
260,Wrexham Social Housing PV,Solar,7,1612,1,5.4,5400,2012,2037
261,Sainsbury's Stores (169 individual Stores),Solar,7,1613,1,16.0,16000,2012,2037
262,Creathorne Farm  - Solar Farm,Solar,7,1614,1,1.8,1800,2014,2039
263,First Wessex Housing Properties (multiple),Solar,7,1616,1,1.0,1000,2015,2040
264,Higher Pirzwell Solar Farm,Solar,7,1617,1,1.2,1200,2012,2037
265,Broadgate Solar Farm,Solar,7,1618,1,1.1,1100,2012,2037
266,CRAYSMARSH SOLAR FARM,Solar,7,1619,1,1.8,1800,2012,2037
267,SOLAR PARK - WHITCHURCH FARM,Solar,7,1620,1,6.5,6500,2014,2039
268,THE HOLLIES SOLAR PARK - SKEGNESS,Solar,7,1622,1,8.6,8600,2013,2038
269,AMBLESTON SOLAR PANELS,Solar,7,1623,1,6.0,6000,2012,2037
270,Ford Farm Solar Farm,Solar,7,1626,1,5.0,5000,2013,2038
271,Canworthy Water,Solar,7,1630,1,41.0,41000,2014,2039
272,Foxcombe Farm Solar Park,Solar,7,1631,1,5.0,5000,2013,2038
273,Liddeston Ridge Solar Park (Milford Haven),Solar,7,1634,1,5.0,5000,2014,2039
274,Bodwen Solar Park,Solar,7,1639,1,5.5,5500,2017,2042
275,Treswarrow Solar Park,Solar,7,1641,1,6.5,6500,2015,2040
276,Carnemough Farm Solar Park,Solar,7,1642,1,7.0,7000,2016,2041
277,Aller Court Farm Solar Park,Solar,7,1646,1,5.0,5000,2017,2042
278,Derriton Fields Solar Farm,Solar,7,1648,1,11.8,11800,2014,2039
279,Cleave Farm Solar Park,Solar,7,1649,1,4.7,4700,2013,2038
280,Four Burrows Farm  (Extension 2),Solar,7,1655,1,6.3,6300,2014,2039
281,Chelworth Industrial Estate Solar Park,Solar,7,1656,1,1.0,1000,2014,2039
282,Drapers Farm Solar Park,Solar,7,1658,1,6.0,6000,2014,2039
283,Week Farm Solar Park,Solar,7,1659,1,3.3,3300,2014,2039
284,Langton Farm Solar park,Solar,7,1661,1,4.4,4400,2015,2040
285,Says Court Farm solar park,Solar,7,1663,1,19.8,19800,2014,2039
286,Ketton solar farm,Solar,7,1667,1,9.0,9000,2014,2039
287,The Manor of Cadland Estate - extension,Solar,7,1669,1,3.0,3000,2014,2039
288,Rowles Farm solar park,Solar,7,1671,1,13.0,13000,2015,2040
289,Ryston Estate Solar Park,Solar,7,1672,1,4.8,4800,2015,2040
290,Reaches Farm Solar Park,Solar,7,1673,1,6.1,6100,2014,2039
291,Watchfield Lawn,Solar,7,1681,1,10.2,10200,2014,2039
292,Witches Solar Farm,Solar,7,1699,1,5.0,5000,2013,2038
293,Burntstalk Solar Park,Solar,7,1713,1,11.5,11500,2013,2038
294,Claypit Moor Solar Farm (Lexham),Solar,7,1714,1,7.9,7900,2013,2038
295,Holton Airfield,Solar,7,1715,1,11.0,11000,2013,2038
296,Goose Willow Farm,Solar,7,1716,1,11.5,11500,2013,2038
297,Chediston Hall Solar Park,Solar,7,1717,1,12.3,12300,2013,2038
298,Burthy Farm,Solar,7,1718,1,10.0,10000,2015,2040
299,Caeremlyn Solar Farm,Solar,7,1719,1,18.0,18000,2014,2039
300,Hazard Farm,Solar,7,1720,1,6.4,6400,2014,2039
301,Home Farm (Merton - solar),Solar,7,1721,1,18.3,18300,2013,2038
302,Rudge Hill Farm,Solar,7,1723,1,1.5,1500,2013,2038
303,Sevor Farm,Solar,7,1724,1,9.3,9300,2013,2038
304,Marsh Farm,Solar,7,1725,1,14.0,14000,2014,2039
305,Four Burrows Solar farm (Extension 1),Solar,7,1726,1,1.5,1500,2014,2039
306,Old Rides solar Farm,Solar,7,1727,1,8.0,8000,2014,2039
307,Parabel North Beer Solar Farm,Solar,7,1728,1,6.8,6800,2013,2038
308,Crockers Hele,Solar,7,1729,1,1.3,1300,2013,2038
309,Bentley Motors Ltd 1,Solar,7,1730,1,5.1,5100,2013,2038
310,Northwick Estate (Extension),Solar,7,1731,1,2.2,2200,2013,2038
311,North Of Field Barn,Solar,7,1732,1,1.0,1000,2014,2039
312,Wroughton Airfield Solar Park,Solar,7,1735,1,50.0,50000,2016,2041
313,Forest Heath Solar Farm,Solar,7,1736,1,5.0,5000,2014,2039
314,Abbey Farm,Solar,7,1737,1,9.0,9000,2014,2039
315,Land at Soho Farm,Solar,7,1743,1,1.5,1500,2014,2039
316,Land South West Of Apollo Business Park,Solar,7,1744,1,1.7,1700,2014,2039
317,Manor Farm (Monmouthshire),Solar,7,1746,1,10.5,10500,2016,2041
318,Land at Mill Farm,Solar,7,1747,1,1.0,1000,2013,2038
319,Land at East Farm,Solar,7,1748,1,6.8,6800,2013,2038
320,New Rendy Farm,Solar,7,1750,1,4.8,4800,2013,2038
321,Reydon Farm (resubmission),Solar,7,1751,1,3.9,3900,2015,2040
322,Copley Farm,Solar,7,1752,1,30.0,30000,2016,2041
323,Ellough Airfield (Ellough 2 extension),Solar,7,1753,1,10.0,10000,2016,2041
324,Nanteague Farm,Solar,7,1754,1,7.7,7700,2015,2040
325,Grange Farm (Burton Pedwardine),Solar,7,1755,1,15.0,15000,2014,2039
326,Wheat Leasows Solar Park,Solar,7,1756,1,4.0,4000,2014,2039
327,Honington Solar Farm,Solar,7,1757,1,13.6,13600,2014,2039
328,Hill Farm Solar Park,Solar,7,1758,1,10.2,10200,2014,2039
329,Homeland Solar Farm,Solar,7,1761,1,13.2,13200,2014,2039
330,East Fairlee,Solar,7,1762,1,7.3,7300,2015,2040
331,Fairwind Farm,Solar,7,1763,1,10.0,10000,2014,2039
332,Redlands Farm,Solar,7,1764,1,6.2,6200,2015,2040
333,Fenton Home Farm,Solar,7,1765,1,31.3,31300,2014,2039
334,Abbots Ripton Solar Farm,Solar,7,1766,1,24.7,24700,2014,2039
335,South Lees Farm,Solar,7,1767,1,11.0,11000,2014,2039
336,Southwick Estate,Solar,7,1768,1,48.0,48000,2015,2040
337,Waterloo solar park,Solar,7,1769,1,14.6,14600,2015,2040
338,Ketton solar farm - phase 2,Solar,7,1772,1,3.0,3000,2015,2040
339,Oak Cottage,Solar,7,1774,1,4.9,4900,2015,2040
340,Sycamore Farm,Solar,7,1775,1,20.0,20000,2014,2039
341,North Wayton Farm,Solar,7,1776,1,5.0,5000,2014,2039
