"index","Normalised_ASHP_heat","Normalised_ASHP_elec","Normalised_GSHP_heat","Normalised_GSHP_elec","Normalised_Resistance_heater_heat","Normalised_Resistance_heater_elec","Normalised_Gas_boiler_heat","Normalised_Gas_boiler_gas"
"2013-07-09T14:00:00",8.87671155425786e-06,3.522775069381574e-06,3.4918285157674592e-06,1.269755903388965e-06,2.7024013798456495e-05,2.7024013798456495e-05,1.2808483888813604e-05,1.5248195135533956e-05
"2013-07-09T14:30:00",8.745972757395066e-06,3.522775069381574e-06,3.6510031386357923e-06,1.3276374850900887e-06,2.7024013798456495e-05,2.7024013798456495e-05,1.2808483888813604e-05,1.5248195135533956e-05
"2013-07-09T15:00:00",9.285675162394102e-06,3.6134973965651544e-06,4.780576167740157e-06,4.539321645661213e-06,3.4359926263157945e-05,3.4359926263157945e-05,1.8970673158527733e-05,2.258413522547327e-05
"2013-07-09T15:30:00",9.509077467030601e-06,3.841514212232942e-06,4.930335562076335e-06,4.6836683763523735e-06,3.4359926263157945e-05,3.4359926263157945e-05,2.0767731689617677e-05,2.472348997616152e-05
"2013-07-09T16:00:00",1.0499757954005746e-05,4.030616061280989e-06,5.110885900864258e-06,4.668370159852982e-06,3.550070577457927e-05,3.550070577457927e-05,2.630776405666106e-05,3.1318765881051234e-05
"2013-07-09T16:30:00",9.161365296880006e-06,3.85664807748219e-06,5.169556674539142e-06,4.983886094942229e-06,3.6186865250258014e-05,3.6186865250258014e-05,2.6730533169809355e-05,3.1822063127332634e-05
"2013-07-09T17:00:00",6.383743059890903e-06,3.6171489666281825e-06,6.698995858138164e-06,5.0215985873887114e-06,3.6345656532577474e-05,3.6345656532577474e-05,2.9096266258988785e-05,3.4638411285589424e-05
"2013-07-09T17:30:00",5.332977766543496e-06,3.593664659137603e-06,7.434474259095994e-06,5.628578788580119e-06,3.7886508948869305e-05,3.7886508948869305e-05,2.9096266258988785e-05,3.4638411285589424e-05
"2013-07-09T18:00:00",4.927137269264368e-06,3.5906973759950525e-06,8.603280903919446e-06,6.094073107304272e-06,3.7886508948869305e-05,3.7886508948869305e-05,2.625070794659796e-05,3.1250843259075076e-05
"2013-07-09T18:30:00",4.865193020822663e-06,3.5906973759950525e-06,9.052372443354014e-06,6.307462661709291e-06,3.7886508948869305e-05,3.7886508948869305e-05,2.625070794659796e-05,3.1250843259075076e-05
"2013-07-09T19:00:00",5.663018243364171e-06,3.5906973759950525e-06,8.595922688640416e-06,6.299033103573609e-06,3.751505414253442e-05,3.751505414253442e-05,2.2363585825345817e-05,2.66233162358522e-05
"2013-07-09T19:30:00",5.663018243364171e-06,3.5906973759950525e-06,8.454913687061212e-06,6.34703678174716e-06,3.680076962207049e-05,3.680076962207049e-05,2.2363585825345817e-05,2.66233162358522e-05
"2013-07-09T20:00:00",5.706543349971313e-06,3.5906973759950525e-06,6.770359269051522e-06,6.1732025518912964e-06,3.524447518193539e-05,3.524447518193539e-05,1.5785409554178144e-05,1.8792155028840042e-05
"2013-07-09T20:30:00",5.706543349971313e-06,3.5906973759950525e-06,6.440165805694809e-06,6.144832728648447e-06,3.524447518193539e-05,3.524447518193539e-05,1.5785409554178144e-05,1.8792155028840042e-05
"2013-07-09T21:00:00",4.967270882919746e-06,3.6092904853763092e-06,5.713810647537497e-06,2.077749266772128e-06,2.90921767103283e-05,2.90921767103283e-05,1.126680184839206e-05,1.3412859142905777e-05
"2013-07-09T21:30:00",2.6468871555136134e-06,1.0180334961338289e-06,6.420161723346896e-06,5.960163992310387e-06,2.90921767103283e-05,2.90921767103283e-05,1.0873242673121658e-05,1.2944336758863608e-05
"2013-07-09T22:00:00",2.349643276632139e-06,9.037089525508227e-07,5.569042548215649e-06,2.025106381169327e-06,2.5616710760246665e-05,2.5616710760246665e-05,4.907677818984748e-06,5.842473772706058e-06
"2013-07-09T22:30:00",1.7868503951967238e-06,6.872501604045936e-07,4.790001012568862e-06,1.7418185897618034e-06,2.2851824433830515e-05,2.2851824433830515e-05,1.6686218537662272e-06,1.986454622113145e-06
